subject,object,relation,uid,status
Duchenne muscular dystrophy,progressive degeneration of the skeletal musculature,Disease - Phenotype (positive),:37509144:kzvj82QTvMmEtkLiYWYf2M,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,reactive myofibrosis,Disease - Phenotype (positive),:37509144:mbfArG9VtGqXdBSpBM7PWa,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,fat substitution,Disease - Phenotype (positive),:37509144:XwaNL2iuYJYNioki2Fw4kT,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,chronic inflammation,Disease - Phenotype (positive),:37509144:GM2MaxsJ9ak5vHApdWTMrz,APPROVED(NODE_ALL_EXISTS)
X-chromosomal disorder,Fibrotic changes,Disease - Phenotype (positive),:37509144:grT7NovjvHayrmNeG7i8sT,ONLY_ONE_SIDE_SYNONYM
X-chromosomal disorder,reduced tissue elasticity,Disease - Phenotype (positive),:37509144:PJFNBYrWiPGHj6ZNkggp4Z,ONLY_ONE_SIDE_SYNONYM
X-chromosomal disorder,loss in motor function,Disease - Phenotype (positive),:37509144:hawKLCe5WM3PSJAwrbdVSr,ONLY_ONE_SIDE_SYNONYM
dystrophinopathies,DMD gene,Disease - Protein,:37509144:8gaAU2BpEDVZzZDSUJda5k,ONLY_ONE_SIDE_SYNONYM
dystrophinopathies,Dp427-M isoform of dystrophin,Disease - Protein,:37509144:bqF3h9NiwMvLm6zZPnbQXq,ONLY_ONE_SIDE_SYNONYM
voluntary muscles,Dp427-M isoform of dystrophin,Anatomy - Protein (absent),:37509144:8u4FiTBSYhURghhCs8mjj7,TWO_SIDE_NO_SYNONYM
muscular dystrophy,excessive accumulation of extracellular matrix proteins,Disease - Phenotype (positive),:37509144:XcRVHW8JRhqBjdkbZJ7n74,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,severe form of muscular dystrophy,Disease - Phenotype (positive),:37501163:gBUaGnoEDoKQAMVgCP332n,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,dystrophin,Disease - Protein,:37501163:b7mv3wDS6bx6cwWNi8YQDv,KG_ALREADY_EXISTS
deficient formation of actin microfilaments,dystrophin,Phenotype - Protein,:37501163:SwGbq6PjBz8yysjyXBAVwv,ONLY_ONE_SIDE_SYNONYM
metabolic switch from mitochondrial oxidation to glycolysis,dystrophin,Biological process - Protein,:37501163:LyFNUHzDDNUvrtFvgL4DWb,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,cardiac fibrosis,Disease - Phenotype (positive),:37501163:Xd4MGPSZDM3qVJqDhAFdHF,ONLY_ONE_SIDE_SYNONYM
myofibroblast phenotype,dystrophin,Phenotype - Protein,:37501163:RnN5uh7YzeGUtsaViwsfWW,ONLY_ONE_SIDE_SYNONYM
cardiopathy,dystrophin,Disease - Protein,:37501163:PoPenG4AU6QT5zRBkjrYPW,KG_ALREADY_EXISTS
Duchenne muscular dystrophy (DMD),scoliosis,Disease - Phenotype (positive),:37482906:AKfKdfwoye2dXdBXWmVtzW,APPROVED(NODE_ALL_EXISTS)
DMD,thoracic kyphosis,Disease - Phenotype (positive),:37482906:P9oSpFioWMmVkmdu54WPLx,APPROVED(NODE_ALL_EXISTS)
DMD,lumbar lordosis,Disease - Phenotype (positive),:37482906:3e8ZUaGdhUwx2wzAmHwfi3,APPROVED(NODE_ALL_EXISTS)
DMD,preoperative feeding disorders,Disease - Phenotype (positive),:37482906:NQQduWAE32UySQiYBKecbm,ONLY_ONE_SIDE_SYNONYM
DMD,development of surgical complications,Disease - Phenotype (positive),:37482906:73ynCaoUZAUZpG3t95hpAF,ONLY_ONE_SIDE_SYNONYM
DMD,Respiratory failure,Disease - Phenotype (positive),:37482906:HGQiVNPVuwbydAro2fmqKf,KG_ALREADY_EXISTS
DMD,severe pneumonia,Disease - Phenotype (positive),:37482906:YQksy8KMuyUeZsbv8QPbff,ONLY_ONE_SIDE_SYNONYM
DMD,left ventricular failure,Disease - Phenotype (positive),:37482906:fkZb67zCkfHz5jKG8kCauT,APPROVED(NODE_ALL_EXISTS)
Duchenne muscular dystrophy,inherited muscular disease,Disease - Phenotype (positive),:37481234:UnQ9NBZTTod2nENsKWBRwV,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,progressive and fatal muscle weakness,Disease - Phenotype (positive),:37481234:N3E7545is5Mf4G2gbc5EG2,APPROVED(NODE_ALL_EXISTS)
DMD,Electrocardiographic (ECG) abnormalities,Disease - Phenotype (positive),:37481234:URyAYaq35yFdpH3wLsv7kU,ONLY_ONE_SIDE_SYNONYM
DMD,abnormal R wave amplitudes,Disease - Phenotype (positive),:37481234:jrT3YudHmhzsgRF3eyXZAe,ONLY_ONE_SIDE_SYNONYM
DMD,electrophysiological damage to the myocardium of the left ventricle lateral to the posterior wall,Disease - Phenotype (positive),:37481234:42x5X4kr55xvUSx5i639Hd,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,DMD gene,Disease - Protein,:37479106:bvdV6TFCtXoSr4M8pftUHw,ONLY_ONE_SIDE_SYNONYM
Bisphosphonates,Duchenne muscular dystrophy,Drug - Disease (indication),:37470794:Fuf68LUQSoWaHH6XwqVCDo,ONLY_ONE_SIDE_SYNONYM
anti-RANKL treatment,receptor activator of nuclear factor kappa-B ligand (RANKL),Drug - Protein,:37470794:cjijztNoUVnbeThFV2eNQn,ONLY_ONE_SIDE_SYNONYM
anti-RANKL treatment,Duchenne muscular dystrophy,Drug - Disease (indication),:37470794:jGac4WSBKunXxJnbEmoAy6,ONLY_ONE_SIDE_SYNONYM
anti-RANKL therapy,Duchenne muscular dystrophy,Drug - Disease (indication),:37470794:hfTEMGUvLkJvzqehRTh9Hx,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,ambulatory disability,Disease - Phenotype (positive),:37453552:dX7uUWsBfUuvbtcZHDV2RM,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,cardiorespiratory failure,Disease - Phenotype (positive),:37453552:cBHqh4XwjnHX6mXXgQZZ8B,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,premature death,Disease - Phenotype (positive),:37453552:BMGRCgCCibahi5Tjhsccbq,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,chronic inflammation,Disease - Phenotype (positive),:37453552:YsqemvW7sp6guej22K7F42,APPROVED(NODE_ALL_EXISTS)
Duchenne muscular dystrophy,muscle weakness,Disease - Phenotype (positive),:37453552:BbBBxJo39EMazsReCTZf73,KG_ALREADY_EXISTS
Duchenne muscular dystrophy,muscle wasting,Disease - Phenotype (positive),:37453552:LjhUnsCBQp5KBhX4JqL7vD,KG_ALREADY_EXISTS
Duchenne muscular dystrophy,m 6 A regulators,Disease - Protein,:37434186:Wxz8VMahUnCAqhDLHjtxCN,ONLY_ONE_SIDE_SYNONYM
immune microenvironment,m 6 A regulators,Biological process - Protein,:37434186:C6yf5nECvpraWj4dE9DA4J,TWO_SIDE_NO_SYNONYM
muscle tissues,m 6 A regulators,Anatomy - Protein (present),:37434186:UwQLSeQAhLkbAVmGxWCjg3,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,LV myocardial fibrosis,Disease - Phenotype (positive),:37433407:GzLxKtKTJC4CafqLqQDemg,APPROVED(NODE_ALL_EXISTS)
Duchenne muscular dystrophy,LV deformation,Disease - Phenotype (positive),:37433407:PrywpJymJhBEUifi3TT5zc,ONLY_ONE_SIDE_SYNONYM
lower endocardial global circumferential strain (GCS),fibrosis,Phenotype - Phenotype,:37433407:UmsvpH4oTFmBijmXbi7iGN,ONLY_ONE_SIDE_SYNONYM
GCS,fibrosis,Phenotype - Phenotype,:37433407:CKHxfqqThr85SKW6miVFWi,ONLY_ONE_SIDE_SYNONYM
global longitudinal strain,fibrosis,Phenotype - Phenotype,:37433407:dinwU9DDRAGzkPnRxAH5N9,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,lower global strain,Disease - Phenotype (positive),:37433407:evQmnDkACW2zidLzNoVue2,ONLY_ONE_SIDE_SYNONYM
lower global strain,LV myocardial fibrosis,Phenotype - Phenotype,:37433407:JnRsTP4gDfbwdFHowQcfyq,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,fatal X-linked disease,Disease - Phenotype (positive),:37428903:kDVFKqAiPRJTuhmvNyUefN,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,progressive degeneration of skeletal musculature and myocardium,Disease - Phenotype (positive),:37428903:T7RBTUsiPGKbof4qZpNA5q,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,DMD gene,Disease - Protein,:37428903:22PsTr7zc2jDPXQTj9pBXT,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,dystrophin,Disease - Protein,:37428903:XYBo22Sj8z6cuCvgJae6fq,KG_ALREADY_EXISTS
Becker muscular dystrophy,milder BMD,Disease - Phenotype (positive),:37428903:97ZUtbrVeTUFhnUHqUUTRE,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,adenosine monophosphate-activated protein kinase (AMPK),Disease - Protein,:37427454:CtqTbtKgb4UTpxL7PNxadP,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,Memory impairments,Disease - Phenotype (positive),:37415288:YitRFPKGE4Dy8AJHxjkSM9,APPROVED(NODE_ALL_EXISTS)
ALY688,recognition memory,Drug - Phenotype,:37415288:4XpyBGfthQAgrJHe7cfhdk,TWO_SIDE_NO_SYNONYM
ALY688,recognition memory impairments,Drug - Phenotype,:37415288:XLMdA3fARPvitypxNhForL,TWO_SIDE_NO_SYNONYM
Duchenne muscular dystrophy,asynchronous skeletal muscle degeneration/regeneration,Disease - Phenotype (positive),:37410813:Q8GQTVwscqZ8Kf2wCdG3WV,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,fatal X-linked recessive disease,Disease - Phenotype (positive),:37406964:BKGQd8iTVQFx86cvDKXMuX,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,dystrophin,Disease - Protein,:37406964:hpHHa2FvxtgKXP7HLjRJsj,KG_ALREADY_EXISTS
Duchenne muscular dystrophy,dilated cardiomyopathy,Disease - Phenotype (positive),:37406964:7UVe2k8nHfMjL3KE9qrQu6,APPROVED(NODE_ALL_EXISTS)
angiotensin-converting enzyme inhibitors,dilated cardiomyopathy Duchenne muscular dystrophy,Drug - Disease (indication),:37406964:JjCgaQ36ULUTbhBMWk7XDw,TWO_SIDE_NO_SYNONYM
aldosterone receptor blockers,dilated cardiomyopathy Duchenne muscular dystrophy,Drug - Disease (indication),:37406964:K5BC88BDyFWXCYQVA9bs37,TWO_SIDE_NO_SYNONYM
angiotensin receptor/neprilysin inhibitors,dilated cardiomyopathy Duchenne muscular dystrophy,Drug - Disease (indication),:37406964:Br3CXJDmAwYNjVh5gawcYD,TWO_SIDE_NO_SYNONYM
beta-blockers,dilated cardiomyopathy Duchenne muscular dystrophy,Drug - Disease (indication),:37406964:EagC23ZHTMJqxy4oCMWLPW,TWO_SIDE_NO_SYNONYM
mineralocorticoid receptor antagonists,dilated cardiomyopathy Duchenne muscular dystrophy,Drug - Disease (indication),:37406964:58sN5vgKbEtqqvpn6RP8w4,TWO_SIDE_NO_SYNONYM
bone marrow,Toll-like receptor (TLR) 4,Anatomy - Protein (present),:37398642:WumFMtDUmqxk4tD9DYiSVx,KG_ALREADY_EXISTS
FSIQ,Dp140,Phenotype - Protein,:37385106:7hjsXfT7cG43xEGyyKgVz5,TWO_SIDE_NO_SYNONYM
cognitive deficits,isoforms,Phenotype - Protein,:37385106:JdUfAiBvfL8Ua2unWhPkcy,ONLY_ONE_SIDE_SYNONYM
brain,isoforms,Anatomy - Protein (present),:37385106:TjzLqbJnmtJWoCTbrZ8REm,ONLY_ONE_SIDE_SYNONYM
elevated CK-MM,creatine kinase-MM,Phenotype - Protein,:37350320:5gmEXAjy6KQpDcQDtAHyor,ONLY_ONE_SIDE_SYNONYM
DMD,DMD gene,Disease - Protein,:37350320:LT6XBk5ntjpzhyDZM5ymiT,ONLY_ONE_SIDE_SYNONYM
Becker muscular dystrophy,DMD gene,Disease - Protein,:37350320:fjuptmaMsTHwPknuEHnML2,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,occult proximal humerus fracture,Disease - Phenotype (positive),:37334628:MVNMPKtH337CyXybjEcuxn,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,decreased mobilization,Disease - Phenotype (positive),:37334628:8YeUmJyAMPCF3Q3fA4DxG6,ONLY_ONE_SIDE_SYNONYM
Open bite,malocclusion,Phenotype - Phenotype,:37334614:33qXkhRQmCz8ZEY4V3Pgau,APPROVED(NODE_ALL_EXISTS)
neuromuscular diseases,Open bite,Disease - Phenotype (positive),:37334614:U5nYXYjfonqUZ2ZKhAAdcf,APPROVED(NODE_ALL_EXISTS)
neuromuscular diseases,orofacial dysfunction,Disease - Phenotype (positive),:37334614:4ZNrVrmRSSD9xVp5vTMWSL,ONLY_ONE_SIDE_SYNONYM
myotonic dystrophy type 1,OB,Disease - Phenotype (positive),:37334614:CXzLbxvZU3rpUZtBfmbB3x,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,OB,Disease - Phenotype (positive),:37334614:KCtQeLjokALYH5p8toD68q,ONLY_ONE_SIDE_SYNONYM
myotonic dystrophy type 1,orofacial dysfunction,Disease - Phenotype (positive),:37334614:GXZA6FkJo5tUpKzLZ9MS5e,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,orofacial dysfunction,Disease - Phenotype (positive),:37334614:8cnWFDCn7nEZTzPsGNsTi4,ONLY_ONE_SIDE_SYNONYM
lateral (LOB),OB,Phenotype - Phenotype,:37334614:RHpDhkBrMWPtNVFpZE7zZj,TWO_SIDE_NO_SYNONYM
anterior (AOB),OB,Phenotype - Phenotype,:37334614:DLCinzv5HbLmwwMvMR9M29,TWO_SIDE_NO_SYNONYM
severe anterior (AOBS),OB,Phenotype - Phenotype,:37334614:eaEuWBoEhhkLtvXwWr2Esd,TWO_SIDE_NO_SYNONYM
both types of anterior OB (AOBTot),OB,Phenotype - Phenotype,:37334614:2RG3vSoXyLbFKvx3gRwoht,TWO_SIDE_NO_SYNONYM
myotonic dystrophy type 1,LOB,Disease - Phenotype (positive),:37334614:hJawf2GmRtjuSYeQbZKzeL,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,LOB,Disease - Phenotype (positive),:37334614:YnsddThArucwo5bGxuNGBn,ONLY_ONE_SIDE_SYNONYM
LOB,macroglossia,Phenotype - Phenotype,:37334614:QmYZH2EuNb8im5U8h5uAbX,ONLY_ONE_SIDE_SYNONYM
LOB,closed mouth posture,Phenotype - Phenotype,:37334614:4JrLEWRcXjEWkR2w4GYKDQ,TWO_SIDE_NO_SYNONYM
AOB,hypotonic lips,Phenotype - Phenotype,:37334614:4NyRDPu9tNcpoTi3e4X3uz,ONLY_ONE_SIDE_SYNONYM
AOB,open mouth posture,Phenotype - Phenotype,:37334614:LeYyvsvtncrT7FUptoYYJN,ONLY_ONE_SIDE_SYNONYM
AOBS,hypotonic jaw muscles,Phenotype - Phenotype,:37334614:VKHSFhft5F6LceVWAPdvV7,APPROVED(NODE_ALL_EXISTS)
NS-089/NCNP-02,DMD,Drug - Disease (indication),:37326950:TmqxZNDPknjfLwDTRMAHxH,APPROVED
DMD,out-of-frame deletion,Disease - Phenotype (positive),:37326950:GcJavj4A9r8ZWBQUYv65Kb,ONLY_ONE_SIDE_SYNONYM
DMD,mutation amenable to exon 44 skipping,Disease - Phenotype (positive),:37326950:YiUtqYfm9uLEpmDFhJWMR7,ONLY_ONE_SIDE_SYNONYM
DMD,dystrophin protein,Disease - Protein,:37326950:PtirTLhWjFXfQFkkRLnutM,ONLY_ONE_SIDE_SYNONYM
DMD,blood creatine kinase levels,Disease - Phenotype (positive),:37326950:gHVRsxj8rPoJsmy9QcvPLW,ONLY_ONE_SIDE_SYNONYM
intelligence quotients (IQs) lower than the normative values,Dp427,Phenotype - Protein,:37312416:CTHYJNiMLgNQH5auth9SJZ,TWO_SIDE_NO_SYNONYM
intelligence quotients (IQs) lower than the normative values,Dp140,Phenotype - Protein,:37312416:goXWK4kMUvudZ5of3Rn38s,TWO_SIDE_NO_SYNONYM
intelligence quotients (IQs) lower than the normative values,Dp71,Phenotype - Protein,:37312416:NaPhhZnPfhdjQV6aCf9D6i,TWO_SIDE_NO_SYNONYM
Duchenne muscular dystrophy,dystrophin,Disease - Protein,:37311604:Ntmih3j9DxMpVUT6KZxgnW,KG_ALREADY_EXISTS
Duchenne muscular dystrophy,progressive and fatal muscle weakness,Disease - Phenotype (positive),:37311604:6BVqG7QeTDfnCgTjs2wsRs,APPROVED(NODE_ALL_EXISTS)
Duchenne muscular dystrophy,RhoA/Rho-associated protein kinase (ROCK),Disease - Protein,:37311604:ETpTShk4AzTPGKA9hVFp7w,ONLY_ONE_SIDE_SYNONYM
RhoA/ROCK activation,ARHGEF3,Biological process - Protein,:37311604:SyjVe7chsvQq5nXwh4Q7Np,ONLY_ONE_SIDE_SYNONYM
autophagy,ARHGEF3,Biological process - Protein,:37311604:8fxgsCuNU3j5B3pjbRhjxF,APPROVED(NODE_ALL_EXISTS)
autophagy,ROCK,Biological process - Protein,:37311604:6M7L76YoDUfe5AdZbFKd8V,APPROVED(NODE_ALL_EXISTS)
Duchenne muscular dystrophy,ARHGEF3,Disease - Protein,:37311604:CtUfdw7h4fH8EAU2Nd9bwr,APPROVED(NODE_ALL_EXISTS)
Duchenne muscular dystrophy,dystrophin,Disease - Protein,:37308617:PPmDXJ2sFn8UtTjjCe3M8c,KG_ALREADY_EXISTS
dystrophin deficiency,dystrophin,Phenotype - Protein,:37308617:iyKDUA5GocFx8WcfVGqjPc,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy (DMD),histological muscle biopsy parameters,Disease - Phenotype (positive),:37306105:hqzXT3kAKYvP4C3j5fubgN,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,dystrophin,Disease - Protein,:37298386:PRexjC6QmYumdbydraWmyY,KG_ALREADY_EXISTS
Limb-girdle sarcoglycanopathy,sarcoglycan-encoding genes,Disease - Protein,:37298386:bQ7yVzMorv9FGaZiszrTRG,TWO_SIDE_NO_SYNONYM
P2X7 up-regulation,P2X7 purinoceptors,Phenotype - Protein,:37298386:SjxkuEfn8hmQ52LbpKuHqM,TWO_SIDE_NO_SYNONYM
muscular dystrophies,P2X7 purinoceptor,Disease - Protein,:37298386:gRTiPgTWj3A22YHuMSevC5,ONLY_ONE_SIDE_SYNONYM
dystrophic muscle cells,P2X7 purinoceptors,Anatomy - Protein (present),:37298386:NpuHyy4NAeywhwfoQKCedf,TWO_SIDE_NO_SYNONYM
Duchenne or Becker muscular dystrophy (DMD/BMD),DMD gene,Disease - Protein,:37298193:4vtiWFEqjurhmiF2QhiVMP,TWO_SIDE_NO_SYNONYM
hyperCKemia,DMD gene,Disease - Protein,:37298193:6JS5ZDSdeQdYLL3BrGCED3,ONLY_ONE_SIDE_SYNONYM
skeletal muscle involvement,DMD gene,Phenotype - Protein,:37298193:f3VtyWUMCEF6jKcBTF2yBV,TWO_SIDE_NO_SYNONYM
Duchenne muscular dystrophy,Cardiomyopathy,Disease - Phenotype (positive),:37296659:DTmEM6CaGa99iWN2vhufyt,KG_ALREADY_EXISTS
denosumab,left ventricular hypertrophy,Drug - Phenotype,:37296659:AvbZk6FHTzRA9oMn7NbqpJ,APPROVED
denosumab,RANKL,Drug - Protein,:37296659:9xa8nL96AwP8qbaqzEbnVA,ONLY_ONE_SIDE_SYNONYM
anti-RANKL treatment,cardiac hypertrophy,Drug - Phenotype,:37296659:iBogVwqKG9rzzFQamFKuTM,TWO_SIDE_NO_SYNONYM
anti-RANKL treatment,cardiac function,Drug - Phenotype,:37296659:LoJD5AWbMTMMJhLiMrtYzM,TWO_SIDE_NO_SYNONYM
Duchenne Muscular Dystrophy (DMD),progressive wasting of skeletal and cardiac muscle,Disease - Phenotype (positive),:37291185:YJv6JtuoLgb929jwaMMSKu,ONLY_ONE_SIDE_SYNONYM
DMD,muscle-specific cellular impact,Disease - Phenotype (positive),:37291185:3vAmDfoLELhnj3NCsbxLSq,ONLY_ONE_SIDE_SYNONYM
DMD,purinergic abnormality,Disease - Phenotype (positive),:37291185:6UBhPcr9ZC2JDBfBoLiHqj,ONLY_ONE_SIDE_SYNONYM
Duchenne Muscular Dystrophy,progressive muscle wasting disorder,Disease - Phenotype (positive),:37289342:Bp5aYNygg2diJcBPFV2gqA,ONLY_ONE_SIDE_SYNONYM
Duchenne Muscular Dystrophy,dystrophin gene,Disease - Protein,:37289342:CNh4HZfnTV3deUga95VWMX,ONLY_ONE_SIDE_SYNONYM
MS023,type I protein arginine methyltransferases (PRMTs),Drug - Protein,:37285284:LUjrDNF87QkZkzFToyDRHR,TWO_SIDE_NO_SYNONYM
MS023,Duchenne muscular dystrophy,Drug - Disease (indication),:37285284:PnpPJ9KmC33BJYfRJ4azBM,ONLY_ONE_SIDE_SYNONYM
Duchenne-linked cardiomyopathy,Progressive left ventricular dysfunction,Disease - Phenotype (positive),:37272541:eGP6JtGUksJc6Gs6UDFHzf,TWO_SIDE_NO_SYNONYM
Duchenne-linked cardiomyopathy,disease progression,Disease - Phenotype (positive),:37272541:jQLteEgAJtxYjd2fU4SuHZ,ONLY_ONE_SIDE_SYNONYM
gut microbial signalling,skeletal muscle maintenance and development,Exposure - Biological process,:37269541:kuuYemAoTMZ4GC2VDhowbM,TWO_SIDE_NO_SYNONYM
Gut microbe-derived metabolites,skeletal muscle wasting,Exposure - Biological process,:37269541:BjwUfB8kjowTMwfdAYg5K6,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,reduction in muscle regenerative capacity,Disease - Phenotype (positive),:37269541:ft4wGPECHMTzHqNFjNv3eJ,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,progressive muscle wasting,Disease - Phenotype (positive),:37269541:9ckYFRX6h8DSnserwYA9bn,APPROVED(NODE_ALL_EXISTS)
Duchenne muscular dystrophy,fibrotic remodelling,Disease - Phenotype (positive),:37269541:coUyYYCegmHPsBtabz7tTE,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,adipose infiltration,Disease - Phenotype (positive),:37269541:kTikGMRTNKBUuPcVEXG5xp,ONLY_ONE_SIDE_SYNONYM
DMD,respiratory insufficiency,Disease - Phenotype (positive),:37269541:5QFaLbCkAzLWULco3FhaRz,KG_ALREADY_EXISTS
DMD,premature death,Disease - Phenotype (positive),:37269541:7fucZd87Vxs5v52nQhsrdu,ONLY_ONE_SIDE_SYNONYM
gut microbial metabolites,aberrant muscle remodelling,Exposure - Biological process,:37269541:WxxeRiRWK8bKfWMZjByLos,TWO_SIDE_NO_SYNONYM
Prednisone,gut dysbiosis,Exposure - Biological process,:37269541:PyJmUmE9ga49oPPGSTt7a6,ONLY_ONE_SIDE_SYNONYM
Prednisone,pro-inflammatory phenotype,Exposure - Biological process,:37269541:WUmSopsNzCtse77DC6pUjU,ONLY_ONE_SIDE_SYNONYM
Prednisone,leaky gut barrier,Exposure - Biological process,:37269541:GX5sdLrLuP8gdsRZa33pFV,ONLY_ONE_SIDE_SYNONYM
microbiota-directed regimen,gut-muscle axis signalling,Exposure - Biological process,:37269541:4cBrM5MhgDQtzK4sEJt9xT,TWO_SIDE_NO_SYNONYM
microbiota-directed regimen,muscle wasting,Exposure - Biological process,:37269541:P2VxFnYEzisiXXd7ehckUr,ONLY_ONE_SIDE_SYNONYM
DMD,muscle wasting,Disease - Phenotype (positive),:37269541:jRgpivDXyQEfcgM9bWiLHx,KG_ALREADY_EXISTS
Duchenne muscular dystrophy,dystrophin,Disease - Protein,:37258941:CYKk39vmfpbg5nu2WQqCGB,KG_ALREADY_EXISTS
oxidative stress injury,dystrophin,Phenotype - Protein,:37258941:JyD7pWaL7eGPLvGxRfWpKt,ONLY_ONE_SIDE_SYNONYM
dysregulated calcium homeostasis,dystrophin,Phenotype - Protein,:37258941:Yhc9pNc5AffxeRaN2REUMW,ONLY_ONE_SIDE_SYNONYM
sarcolemma instability,dystrophin,Phenotype - Protein,:37258941:V7H22kFje9sE4xHUANZS6u,ONLY_ONE_SIDE_SYNONYM
neuromuscular junction impairment,dystrophin,Phenotype - Protein,:37258941:7ZasEVcCtjguf6z6VEW48R,ONLY_ONE_SIDE_SYNONYM
abnormal differentiation of muscle satellite,dystrophin,Phenotype - Protein,:37258941:CHkb2f28MnkV4W7G65XcjH,ONLY_ONE_SIDE_SYNONYM
multiple organ dysfunction,dystrophin,Phenotype - Protein,:37258941:Vdm7uPxR2tmwbJoYgvzhr2,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,DMD gene,Disease - Protein,:37254189:ZPTnH4JSfeYgepAF8QLBKG,ONLY_ONE_SIDE_SYNONYM
Becker muscular dystrophy,DMD gene,Disease - Protein,:37254189:6njAKtSHvz6Q6SHFXdZKHi,ONLY_ONE_SIDE_SYNONYM
peripheral blood,DMD gene,Anatomy - Protein (present),:37254189:BDoA3Ctd6HpvBcoFLoAUgC,TWO_SIDE_NO_SYNONYM
pathogenic or likely pathogenic variants,DMD gene,Phenotype - Protein,:37254189:Gm4YY6SfPGHJWm3GTYdyLD,TWO_SIDE_NO_SYNONYM
c.10916_10917del,DMD gene,Phenotype - Protein,:37254189:CxszVDbKwXXLTmeeGoGHqT,TWO_SIDE_NO_SYNONYM
c.1790T>A,DMD gene,Phenotype - Protein,:37254189:5nRu49mckatMqfGFVcNp6Z,TWO_SIDE_NO_SYNONYM
c.1842del,DMD gene,Phenotype - Protein,:37254189:4mBwmCxoKt68YNFtt5PtQv,TWO_SIDE_NO_SYNONYM
c.5015del,DMD gene,Phenotype - Protein,:37254189:4rJoSMqrXtYvKoybkwwEMW,TWO_SIDE_NO_SYNONYM
c.5791_5792insCA,DMD gene,Phenotype - Protein,:37254189:74h68e2gsDcmi4qMexY8ze,TWO_SIDE_NO_SYNONYM
exons 38-50 duplication,DMD gene,Phenotype - Protein,:37254189:FS5m8ifNS9eYgmJM68DXJn,TWO_SIDE_NO_SYNONYM
Duchenne muscular dystrophy,dystrophin,Disease - Protein,:37248912:FcJN4CaExXEZ6UP7PTMYoT,KG_ALREADY_EXISTS
progressive muscle damage,dystrophin,Phenotype - Protein,:37248912:G5oei2ubdQH9gKegW8zoKS,ONLY_ONE_SIDE_SYNONYM
replacement of muscle with fibrotic and adipose tissue,dystrophin,Phenotype - Protein,:37248912:E5Eda8cWps9ZYeH2nyqKsY,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,dystrophin gene,Disease - Protein,:37240237:kpMpcSrv2xKu6BqdeSvYE6,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,progressive muscle degenerative disease,Disease - Phenotype (positive),:37240001:4JuUNJpuTZFjdj8E6NSgLc,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,dystrophin,Disease - Protein,:37240001:467EcJJ3gFHdyTTVdFAazA,KG_ALREADY_EXISTS
Duchenne muscular dystrophy,dilated cardiomyopathy,Disease - Phenotype (positive),:37240001:CD7zN73VU3jnA7CsrTvXNs,APPROVED(NODE_ALL_EXISTS)
Duchenne muscular dystrophy,respiratory complications,Disease - Phenotype (positive),:37240001:DJWPpCabk6TKDzy2EjMTRc,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,cardiac involvement,Disease - Phenotype (positive),:37240001:MKxaV3udzzW2BYN7a5GxWW,ONLY_ONE_SIDE_SYNONYM
